Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
29.12.2007,Birmingham,Fulham,1:01,D,2.01,3.31,3.96
29.12.2007,Chelsea,Newcastle,2:01,H,1.4,4.19,8.12
29.12.2007,Everton,Arsenal,1:04,A,3.28,3.21,2.18
29.12.2007,Portsmouth,Middlesbrough,0:01,A,1.61,3.58,5.65
29.12.2007,Sunderland,Bolton,3:01,H,2.45,3.47,3.69
29.12.2007,Tottenham,Reading,6:04,H,1.46,4.02,7.19
29.12.2007,West Ham,Manchester United,2:01,H,6.79,3.88,1.49
29.12.2007,Wigan,Aston Villa,1:02,A,2.98,3.24,2.45
27.12.2007,Manchester City,Blackburn,2:02,D,2.1,3.23,3.47
26.12.2007,Birmingham,Middlesbrough,3:00,H,2.27,3.2,3.11
26.12.2007,Chelsea,Aston Villa,4:04,D,1.45,3.9,7.64
26.12.2007,Derby,Liverpool,1:02,A,10.7,4.94,1.28
26.12.2007,Everton,Bolton,2:00,H,1.71,3.39,4.99
26.12.2007,Portsmouth,Arsenal,0:00,D,4.44,3.36,1.81
26.12.2007,Sunderland,Manchester United,0:04,A,8.3,4.33,1.37
26.12.2007,Tottenham,Fulham,5:01,H,1.42,4.01,8.04
26.12.2007,West Ham,Reading,1:01,D,1.87,3.32,4.15
26.12.2007,Wigan,Newcastle,1:00,H,2.63,3.21,2.6
23.12.2007,Blackburn,Chelsea,0:01,A,4.29,3.35,1.85
23.12.2007,Manchester United,Everton,2:01,H,1.38,4.28,8.31
23.12.2007,Newcastle,Derby,2:02,D,1.33,4.57,9.17
22.12.2007,Arsenal,Tottenham,2:01,H,1.49,3.85,6.91
22.12.2007,Aston Villa,Manchester City,1:01,D,1.99,3.21,3.83
22.12.2007,Bolton,Birmingham,3:00,H,1.82,3.35,4.42
22.12.2007,Fulham,Wigan,1:01,D,2.08,3.23,3.52
22.12.2007,Liverpool,Portsmouth,4:01,H,1.5,3.84,6.7
22.12.2007,Middlesbrough,West Ham,1:02,A,2.22,3.25,3.17
22.12.2007,Reading,Sunderland,2:01,H,1.82,3.38,4.36
16.12.2007,Arsenal,Chelsea,1:00,H,2.36,3.03,3.16
16.12.2007,Liverpool,Manchester United,0:01,A,2.58,3.04,2.83
15.12.2007,Birmingham,Reading,1:01,D,2.18,3.2,3.36
15.12.2007,Derby,Middlesbrough,0:01,A,3.2,3.24,2.23
15.12.2007,Fulham,Newcastle,0:01,A,2.5,3.2,2.76
15.12.2007,Manchester City,Bolton,4:02,H,1.96,3.24,4.01
15.12.2007,Portsmouth,Tottenham,0:01,A,2.11,3.22,3.44
15.12.2007,Sunderland,Aston Villa,1:01,D,3.12,3.22,2.26
15.12.2007,West Ham,Everton,0:02,A,2.56,3.16,2.75
15.12.2007,Wigan,Blackburn,5:03,H,3.36,3.2,2.17
09.12.2007,Blackburn,West Ham,0:01,A,1.86,3.32,4.23
09.12.2007,Bolton,Wigan,4:01,H,1.83,3.39,4.98
09.12.2007,Middlesbrough,Arsenal,2:01,H,6.26,3.66,1.56
09.12.2007,Tottenham,Manchester City,2:01,H,1.91,3.31,3.98
08.12.2007,Aston Villa,Portsmouth,1:03,A,2.08,3.2,3.52
08.12.2007,Chelsea,Sunderland,2:00,H,1.17,6.36,15.54
08.12.2007,Everton,Fulham,3:00,H,1.54,3.73,6.31
08.12.2007,Manchester United,Derby,4:01,H,1.1,8.2,22.59
08.12.2007,Newcastle,Birmingham,2:01,H,1.79,3.35,4.61
08.12.2007,Reading,Liverpool,3:01,H,5.72,3.58,1.62
05.12.2007,Newcastle,Arsenal,1:01,D,5.02,3.46,1.7
03.12.2007,Manchester United,Fulham,2:00,H,1.17,6.4,15.48
02.12.2007,Liverpool,Bolton,4:00,H,1.3,4.88,10.21
02.12.2007,Tottenham,Birmingham,2:03,A,1.42,4.17,7.46
01.12.2007,Aston Villa,Arsenal,1:02,A,3.69,3.23,2.03
01.12.2007,Blackburn,Newcastle,3:01,H,1.83,3.37,4.32
01.12.2007,Chelsea,West Ham,1:00,H,1.29,4.91,10.03
01.12.2007,Portsmouth,Everton,0:00,D,2.23,3.19,3.17
01.12.2007,Reading,Middlesbrough,1:01,D,1.93,3.27,3.96
01.12.2007,Sunderland,Derby,1:00,H,1.64,3.56,5.47
01.12.2007,Wigan,Manchester City,1:01,D,2.85,3.18,2.46
28.11.2007,Blackburn,Aston Villa,0:04,A,2.11,3.21,3.48
25.11.2007,Fulham,Blackburn,2:02,D,3.03,3.19,2.32
25.11.2007,West Ham,Tottenham,1:01,D,2.88,3.2,2.41
24.11.2007,Arsenal,Wigan,2:00,H,1.15,6.51,16.55
24.11.2007,Birmingham,Portsmouth,0:02,A,3.04,3.23,2.28
24.11.2007,Bolton,Manchester United,1:00,H,7.27,3.88,1.46
24.11.2007,Derby,Chelsea,0:02,A,11.86,5.13,1.26
24.11.2007,Everton,Sunderland,7:01,H,1.6,3.56,5.82
24.11.2007,Manchester City,Reading,2:01,H,1.61,3.54,5.79
24.11.2007,Middlesbrough,Aston Villa,0:03,A,2.76,3.16,2.52
24.11.2007,Newcastle,Liverpool,0:03,A,3.72,3.24,2
12.11.2007,Reading,Arsenal,1:03,A,7.12,3.94,1.46
11.11.2007,Birmingham,Aston Villa,1:02,A,2.79,3.07,2.56
11.11.2007,Bolton,Middlesbrough,0:00,D,2.05,3.19,3.6
11.11.2007,Chelsea,Everton,1:01,D,1.35,4.36,9.02
11.11.2007,Manchester United,Blackburn,2:00,H,1.36,4.38,8.53
11.11.2007,Portsmouth,Manchester City,0:00,D,1.9,3.3,4.09
11.11.2007,Tottenham,Wigan,4:00,H,1.42,4.01,7.76
10.11.2007,Derby,West Ham,0:05,A,3.07,3.2,2.26
10.11.2007,Liverpool,Fulham,2:00,H,1.26,4.98,11.6
10.11.2007,Sunderland,Newcastle,1:01,D,2.72,3.14,2.53
05.11.2007,Manchester City,Sunderland,1:00,H,1.62,3.54,5.71
04.11.2007,West Ham,Bolton,1:01,D,1.97,3.21,3.9
