"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-09-15","Bolton","Southampton","Middlesbrough","West Ham","D","D",3.5,3,10.5,0,0
"2001-09-15","Bolton","Southampton","Middlesbrough","West Ham","A","D",5,3,15,0,0
"2001-09-15","Bolton","Southampton","Middlesbrough","West Ham","D","A",3.5,3,10.5,0,0
"2001-09-15","Bolton","Southampton","Middlesbrough","West Ham","A","A",5,3,15,1,0
"2001-09-15","Bolton","Southampton","Newcastle","Manchester United","D","H",3.5,3.75,13.125,0,0
"2001-09-15","Bolton","Southampton","Newcastle","Manchester United","A","H",5,3.75,18.75,0,0
"2001-09-15","Bolton","Southampton","Newcastle","Manchester United","D","D",3.5,3.25,11.375,0,0
"2001-09-15","Bolton","Southampton","Newcastle","Manchester United","A","D",5,3.25,16.25,0,0
"2001-09-15","Bolton","Southampton","Newcastle","Manchester United","A","A",5,2.1,10.5,1,0
"2001-09-15","Derby","Leicester","Everton","Liverpool","D","H",3.2,3.2,10.24,0,0
"2001-09-15","Derby","Leicester","Everton","Liverpool","A","H",3.75,3.2,12,0,0
"2001-09-15","Derby","Leicester","Everton","Liverpool","D","D",3.2,3.2,10.24,0,0
"2001-09-15","Derby","Leicester","Everton","Liverpool","A","D",3.75,3.2,12,0,0
"2001-09-15","Derby","Leicester","Fulham","Arsenal","D","H",3.2,3.25,10.4,0,0
"2001-09-15","Derby","Leicester","Fulham","Arsenal","A","H",3.75,3.25,12.1875,0,0
"2001-09-15","Derby","Leicester","Fulham","Arsenal","D","D",3.2,3.1,9.92,0,0
"2001-09-15","Derby","Leicester","Fulham","Arsenal","A","D",3.75,3.1,11.625,0,0
"2001-09-15","Derby","Leicester","Fulham","Arsenal","A","A",3.75,2.35,8.8125,1,0
"2001-09-15","Derby","Leicester","Middlesbrough","West Ham","A","H",3.75,2.4,9,0,0
"2001-09-15","Derby","Leicester","Middlesbrough","West Ham","D","D",3.2,3,9.6,0,0
"2001-09-15","Derby","Leicester","Middlesbrough","West Ham","A","D",3.75,3,11.25,0,0
"2001-09-15","Derby","Leicester","Middlesbrough","West Ham","D","A",3.2,3,9.6,0,0
