Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
29.12.2012,Reading,West Ham,1:00,H,2.76,3.27,2.57
29.12.2012,Stoke,Southampton,3:03,D,1.92,3.33,4.24
29.12.2012,Sunderland,Tottenham,1:02,A,3.48,3.27,2.17
26.12.2012,Aston Villa,Tottenham,0:04,A,3.87,3.48,1.95
26.12.2012,Everton,Wigan,2:01,H,1.55,3.99,6.25
26.12.2012,Fulham,Southampton,1:01,D,1.9,3.49,4.06
26.12.2012,Manchester United,Newcastle,4:03,H,1.25,5.92,11.32
26.12.2012,Norwich,Chelsea,0:01,A,5.45,3.83,1.63
26.12.2012,QPR,West Brom,1:02,A,2.32,3.34,3.03
26.12.2012,Reading,Swansea,0:00,D,2.9,3.3,2.42
26.12.2012,Stoke,Liverpool,3:01,H,3.7,3.21,2.1
26.12.2012,Sunderland,Manchester City,1:00,H,6.49,4,1.53
23.12.2012,Chelsea,Aston Villa,8:00,H,1.34,5.13,8.74
23.12.2012,Swansea,Manchester United,1:01,D,4.94,3.78,1.7
22.12.2012,Liverpool,Fulham,4:00,H,1.47,4.26,7.13
22.12.2012,Manchester City,Reading,1:00,H,1.12,8.63,18.07
22.12.2012,Newcastle,QPR,1:00,H,2.07,3.37,3.61
22.12.2012,Southampton,Sunderland,0:01,A,2.02,3.39,3.71
22.12.2012,Tottenham,Stoke,0:00,D,1.61,3.73,5.93
22.12.2012,West Brom,Norwich,2:01,H,2.01,3.42,3.75
22.12.2012,West Ham,Everton,1:02,A,2.91,3.22,2.48
22.12.2012,Wigan,Arsenal,0:01,A,4.75,3.72,1.73
17.12.2012,Reading,Arsenal,2:05,A,5.54,4.02,1.6
16.12.2012,Tottenham,Swansea,1:00,H,1.65,3.85,5.24
16.12.2012,West Brom,West Ham,0:00,D,2,3.43,3.73
15.12.2012,Liverpool,Aston Villa,1:03,A,1.36,4.8,9.03
15.12.2012,Manchester United,Sunderland,3:01,H,1.2,6.51,14.31
15.12.2012,Newcastle,Manchester City,1:03,A,5.33,3.91,1.63
15.12.2012,Norwich,Wigan,2:01,H,2.24,3.38,3.17
15.12.2012,QPR,Fulham,2:01,H,2.55,3.31,2.75
15.12.2012,Stoke,Everton,1:01,D,3.1,3.13,2.41
11.12.2012,Sunderland,Reading,3:00,H,1.91,3.41,4.18
