Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
27.10.2001,Aston Villa,Bolton,3:02,H,1.79,3.5,4.59
27.10.2001,Charlton,Liverpool,0:02,A,3.7,3.25,2.04
27.10.2001,Everton,Newcastle,1:03,A,2.29,3.05,3.05
27.10.2001,Fulham,Southampton,2:01,H,1.89,3.3,4.2
27.10.2001,Manchester United,Leeds,1:01,D,1.84,3.4,4.4
27.10.2001,Sunderland,Arsenal,1:01,D,3.6,3.25,2.04
27.10.2001,Tottenham,Middlesbrough,2:01,H,1.84,3.4,4.4
24.10.2001,Aston Villa,Charlton,1:00,H,1.68,3.7,5
24.10.2001,Southampton,Ipswich,3:03,D,2.4,3.1,2.95
24.10.2001,West Ham,Chelsea,2:01,H,3.3,3.1,2.29
22.10.2001,Middlesbrough,Sunderland,2:00,H,2.5,3.1,2.9
21.10.2001,Fulham,Ipswich,1:01,D,1.95,3.3,4
21.10.2001,Leeds,Chelsea,0:00,D,1.89,3.4,4.25
21.10.2001,Newcastle,Tottenham,0:02,A,1.95,3.25,4.09
20.10.2001,Arsenal,Blackburn,3:03,D,1.44,4.5,7.5
20.10.2001,Derby,Charlton,1:01,D,2.4,3.05,3
20.10.2001,Everton,Aston Villa,3:02,H,2.65,3,2.65
20.10.2001,Leicester,Liverpool,1:04,A,4.2,3.4,1.89
20.10.2001,Manchester United,Bolton,1:02,A,1.32,5,9
20.10.2001,West Ham,Southampton,2:00,H,2.1,3.25,3.7
15.10.2001,Tottenham,Derby,3:01,H,1.63,3.9,5.5
14.10.2001,Aston Villa,Fulham,2:00,H,1.84,3.5,4.4
14.10.2001,Blackburn,West Ham,7:01,H,1.89,3.3,4.3
13.10.2001,Bolton,Newcastle,0:04,A,2.45,3.15,2.9
13.10.2001,Charlton,Middlesbrough,0:00,D,2.15,3.2,3.6
13.10.2001,Chelsea,Leicester,2:00,H,1.37,4.8,8
13.10.2001,Ipswich,Everton,0:00,D,2.2,3.2,3.6
13.10.2001,Liverpool,Leeds,1:01,D,2.2,3.1,3.65
13.10.2001,Southampton,Arsenal,0:02,A,4.2,3.25,1.89
13.10.2001,Sunderland,Manchester United,1:03,A,3.8,3.25,2.04
30.09.2001,Aston Villa,Blackburn,2:00,H,1.85,3.3,4.3
30.09.2001,Fulham,Chelsea,1:01,D,2.75,3,2.6
30.09.2001,Ipswich,Leeds,1:02,A,3.2,3.1,2.29
30.09.2001,Newcastle,Liverpool,0:02,A,2.9,2.95,2.5
29.09.2001,Bolton,Sunderland,0:02,A,2.25,3.3,3.1
29.09.2001,Charlton,Leicester,2:00,H,2.04,3.25,3.7
29.09.2001,Derby,Arsenal,0:02,A,4,3.2,1.95
29.09.2001,Everton,West Ham,5:00,H,2.04,3.2,3.75
29.09.2001,Middlesbrough,Southampton,1:03,A,1.95,3.3,4
29.09.2001,Tottenham,Manchester United,3:05,A,3.5,3.2,2.15
26.09.2001,Newcastle,Leicester,1:00,H,1.6,3.65,5.5
24.09.2001,Southampton,Aston Villa,1:03,A,2.6,3,2.6
23.09.2001,Chelsea,Middlesbrough,2:02,D,1.49,4.2,7
23.09.2001,Leeds,Derby,3:00,H,1.37,4.8,8
23.09.2001,West Ham,Newcastle,3:00,H,2.6,3,2.6
22.09.2001,Arsenal,Bolton,1:01,D,1.47,4.59,7.5
22.09.2001,Blackburn,Everton,1:00,H,2.04,3.2,3.8
22.09.2001,Leicester,Fulham,0:00,D,2.5,3.1,2.6
22.09.2001,Liverpool,Tottenham,1:00,H,1.53,3.9,6
22.09.2001,Manchester United,Ipswich,4:00,H,1.37,4.8,8
