"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","A","D","2.97","3.32",9.8604,0.0910038968823468,0,0.112736939203892,0.00730568105994127
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","H","A","2.41","3.81",9.1821,0.0977265358489553,0,0.12144409410664,0.00911284474878493
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","D","A","3.27","3.81",12.4587,0.0720247557785879,0,0.084488215456459,0.00307491335536629
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","A","A","2.97","3.81",11.3157,0.0792999836350109,0,0.0959734488845186,0.00454174688314219
2013-08-18,"Chelsea","Hull City","Crystal Palace","Tottenham","H","H","1.2","5.64",6.768,0.132628516661075,0,0.157551880335329,0.0209689539243441
2013-08-18,"Chelsea","Hull City","Crystal Palace","Tottenham","D","A","6.4","1.65",10.56,0.0850028220418707,0,0.104363200466394,0.00585081702819173
2013-08-24,"Aston Villa","Liverpool","Everton","West Brom","H","H","4.05","1.56",6.318,0.143530068114064,0,0.165226360226937,0.0264940019913618
2013-08-24,"Aston Villa","Liverpool","Everton","West Brom","D","H","3.78","1.56",5.8968,0.153782215836497,0,0.172691425970683,0.0310850542306072
2013-08-24,"Aston Villa","Liverpool","Everton","West Brom","A","D","1.86","3.99",7.4214,0.122190283550901,1,0.146951595517061,0.0179546794412401
2013-08-24,"Aston Villa","Liverpool","Everton","West Brom","A","A","1.86","6.27",11.6622,0.0777574531687552,0,0.0923433472351686,0.00492314737424522
2013-08-24,"Aston Villa","Liverpool","Fulham","Arsenal","A","H","1.86","4.42",8.2212,0.110721907117785,0,0.134826639336892,0.0142834725450379
2013-08-24,"Aston Villa","Liverpool","Fulham","Arsenal","D","D","3.78","3.53",13.3434,0.0682185157303786,0,0.076516006770479,0.00325612994530522
2013-08-24,"Aston Villa","Liverpool","Fulham","Arsenal","A","D","1.86","3.53",6.5658,0.138637628742382,0,0.16096210432339,0.0247881519841257
2013-08-24,"Aston Villa","Liverpool","Fulham","Arsenal","H","A","4.05","1.86",7.533,0.120837241842126,0,0.145204259155339,0.0178063314755638
2013-08-24,"Aston Villa","Liverpool","Fulham","Arsenal","D","A","3.78","1.86",7.0308,0.129468473402278,0,0.153211852492544,0.0210693691290144
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","H","H","4.05","2.38",9.639,0.0940562651822327,0,0.11551386419765,0.00890317421336651
2013-08-24,"Aston Villa","Liverpool","Hull City","Norwich","D","H","3.78","2.38",8.9964,0.100774569838106,0,0.123932746245707,0.0108196430482728
