"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2012-11-03","Fulham","Everton","Norwich","Stoke","H","H",2.65,2.47,6.5455,0.135943599403817,0,0.156998400265937,0.00393589936620577,35.968950055794
"2012-11-03","Fulham","Everton","Sunderland","Aston Villa","D","H",3.31,2.01,6.6531,0.133727842122552,0,0.155457990825303,0.00352204965325969,32.1869073076045
"2012-11-03","Manchester United","Arsenal","Sunderland","Aston Villa","D","H",3.82,2.01,7.6782,0.116370433720007,0,0.141437964019412,0.0012875280546171,11.7663151374219
"2012-11-03","Manchester United","Arsenal","Swansea","Chelsea","H","H",1.7,4.26,7.242,0.123674340464713,0,0.14726020391361,0.00266831180753452,24.3848648577152
"2012-11-03","Manchester United","Arsenal","Tottenham","Wigan","H","D",1.7,4.24,7.208,0.124209142342488,0,0.147722883770939,0.00270652613029137,24.7340935698258
"2012-11-03","Manchester United","Arsenal","West Ham","Manchester City","D","A",3.82,1.71,6.5322,0.137386977701433,0,0.157189725769254,0.00533146465857325,48.7225836298037
"2012-11-03","Norwich","Stoke","Sunderland","Aston Villa","D","H",3.22,2.01,6.4722,0.137737217077596,0,0.158055375005292,0.00451160864114392,41.2301765837654
"2012-11-03","Sunderland","Aston Villa","Swansea","Chelsea","H","D",2.01,3.63,7.2963,0.122456233405256,0,0.146523950044684,0.00218379852802452,19.9570499339652
"2012-11-03","Sunderland","Aston Villa","West Ham","Manchester City","H","D",2.01,3.8,7.638,0.11721166766086,0,0.141965776351521,0.00163320047846418,14.9253070201353
"2012-11-03","Swansea","Chelsea","Tottenham","Wigan","A","D",1.83,4.24,7.7592,0.115380628626831,0,0.140379819884108,0.00137153344006276,12.5340140119044
"2012-11-03","Swansea","Chelsea","West Ham","Manchester City","H","A",4.26,1.71,7.2846,0.123191527367703,0,0.14668231283057,0.00282685770398824,25.8337660872688
"2012-11-03","Tottenham","Wigan","West Ham","Manchester City","D","A",4.24,1.71,7.2504,0.123724241428798,0,0.147146093472536,0.00286528763711719,26.1849651949572
"2012-11-04","Liverpool","Newcastle","QPR","Reading","D","H",4.12,1.86,7.6632,0.116533122598882,0,0.14163470227199,0.00124618275637215,10.991652701471
"2012-11-10","Arsenal","Fulham","Aston Villa","Manchester United","H","D",1.54,4.54,6.9916,0.12761108138538,0,0.150698051893751,0.00283436094733758,24.9686388607804
"2012-11-10","Arsenal","Fulham","Everton","Sunderland","H","D",1.54,4.42,6.8068,0.131440973178997,0,0.153280552562209,0.00383930619583271,33.8214686346671
"2012-11-10","Aston Villa","Manchester United","Everton","Sunderland","D","H",4.54,1.41,6.4014,0.139673229959202,0,0.159082170581519,0.00527657140938528,46.4827198765268
"2012-11-10","Reading","Norwich","Southampton","Swansea","A","H",3.16,2.44,7.7104,0.116031552394466,0,0.141016462443671,0.00138530218623626,12.2034951242443
"2012-11-10","Reading","Norwich","Stoke","QPR","H","D",2.25,3.36,7.56,0.118379570037688,0,0.142994938680121,0.00176311104796393,15.5317137958083
"2012-11-10","Reading","Norwich","Wigan","West Brom","H","D",2.25,3.37,7.5825,0.118039728454457,0,0.142697380010596,0.00172449316984881,15.191518644188
"2012-11-10","Southampton","Swansea","Stoke","QPR","D","H",3.42,1.97,6.7374,0.132932667835854,1,0.154260395215791,0.00423801824340847,37.333829025715
"2012-11-10","Southampton","Swansea","Wigan","West Brom","D","H",3.42,2.19,7.4898,0.119590284493182,0,0.143926899657219,0.00204245738073336,17.9925498818245
"2012-11-10","Stoke","QPR","Wigan","West Brom","D","H",3.36,2.19,7.3584,0.121766625244017,0,0.145685956640928,0.00241549255810946,21.2787158992543
"2012-11-11","Chelsea","Liverpool","Manchester City","Tottenham","H","D",1.85,4.4,8.14,0.110561500297695,0,0.135500398154358,0.00129387134163824,11.4326394833633
"2012-11-11","Chelsea","Liverpool","Newcastle","West Ham","D","H",3.63,1.97,7.1511,0.125265800118878,0,0.148500081976481,0.00294417129518315,26.0146800627622
"2012-11-17","Arsenal","Tottenham","Newcastle","Swansea","A","H",3.87,2.04,7.8948,0.113898718568977,0,0.138624369700929,0.00166012082982983,14.606650708673
"2012-11-17","Arsenal","Tottenham","Norwich","Manchester United","H","D",1.95,4.28,8.346,0.107891635189822,0,0.132925440275552,0.00100110501846137,8.8082692925814
"2012-11-17","Arsenal","Tottenham","QPR","Southampton","H","A",1.95,3.92,7.644,0.117298363209263,1,0.141886886175645,0.00182195860555552,16.0305879420465
"2012-11-17","Arsenal","Tottenham","Reading","Everton","H","D",1.95,3.67,7.1565,0.125759061183256,0,0.148426167691256,0.00359865612257757,31.6629440813089
"2012-11-17","Arsenal","Tottenham","West Brom","Chelsea","A","A",3.87,2.04,7.8948,0.113996916025734,0,0.138624369700929,0.00177075653160345,15.5800841013989
"2012-11-17","Liverpool","Wigan","Norwich","Manchester United","D","A",4.35,1.5,6.525,0.137026449804344,0,0.157293385220127,0.00476996701573757,41.9687777171688
"2012-11-17","Liverpool","Wigan","Reading","Everton","H","H",1.45,4.37,6.3365,0.141029280166639,1,0.160028479915147,0.00547010399156482,48.12896562059
"2012-11-17","Manchester City","Aston Villa","Norwich","Manchester United","H","H",1.2,6.41,7.692,0.116328806314743,1,0.141257181906652,0.00144695586164147,12.7311087735887
"2012-11-17","Newcastle","Swansea","QPR","Southampton","H","D",2.04,3.51,7.1604,0.124455426302606,0,0.148372805457149,0.00217949567060313,19.176394518722
"2012-11-17","Newcastle","Swansea","Reading","Everton","H","D",2.04,3.67,7.4868,0.119476425485684,0,0.14396684797531,0.00186628837579496,16.4206254972946
"2012-11-17","Newcastle","Swansea","West Brom","Chelsea","A","A",3.68,2.04,7.5072,0.119150189967163,0,0.14369539504239,0.00181618927012027,15.9798261745838
"2012-11-17","Norwich","Manchester United","Reading","Everton","D","A",4.28,1.8,7.704,0.116270185019561,0,0.141100149056012,0.00155966905636814,13.7228210851557
"2012-11-17","QPR","Southampton","Reading","Everton","A","A",3.92,1.8,7.056,0.126407412111585,0,0.149807153530193,0.0025989387713902,22.8668842440918
"2012-11-17","QPR","Southampton","West Brom","Chelsea","D","A",3.51,2.04,7.1604,0.124562725194956,0,0.148372805457149,0.00230177960461971,20.2523154272294
"2012-11-17","Reading","Everton","West Brom","Chelsea","D","A",3.67,2.04,7.4868,0.119579431746619,0,0.14396684797531,0.00198305301960887,17.4479846730043
"2012-11-24","Aston Villa","Arsenal","Everton","Norwich","A","D",1.77,4.26,7.5402,0.118678048711055,0,0.143257250422888,0.00179494862233746,16.169969114877
"2012-11-24","Aston Villa","Arsenal","Wigan","Reading","A","A",1.77,4.02,7.1154,0.125768494801558,0,0.148989559503281,0.0029037921568095,26.1590938633586
"2012-11-24","Stoke","Fulham","Sunderland","West Brom","H","D",2.15,3.29,7.0735,0.126452774212294,0,0.149565868027648,0.00295701881712769,26.6385914059191
"2012-11-24","Stoke","Fulham","Wigan","Reading","H","D",2.15,3.51,7.5465,0.118476981520824,0,0.143173740844932,0.00166481449250903,14.9976431586183
"2012-11-24","Sunderland","West Brom","Wigan","Reading","D","H",3.29,1.91,6.2839,0.142437996597924,0,0.160799015273174,0.0059682877543596,53.7659002913508
"2012-11-25","Chelsea","Manchester City","Southampton","Newcastle","D","H",3.37,2.09,7.0433,0.126749046377182,1,0.149982473512178,0.00276583486797218,24.5353504694604
"2012-11-25","Chelsea","Manchester City","Swansea","Liverpool","D","A",3.37,2.08,7.0096,0.127673309740956,0,0.150448572664513,0.00322588189071613,28.616365958187
"2012-11-25","Southampton","Newcastle","Swansea","Liverpool","H","H",2.09,3.54,7.3986,0.120592904683139,0,0.145145769445112,0.00173162074876527,15.3609756110619
"2012-11-25","Swansea","Liverpool","Tottenham","West Ham","A","D",2.08,3.68,7.6544,0.116654993311048,0,0.141750236513606,0.00125143369971944,11.1013006479383
"2012-11-27","Aston Villa","Reading","Sunderland","QPR","H","D",1.97,3.23,6.3631,0.14048989371013,1,0.159640035917559,0.00541263478132684,48.5191928601184
"2012-11-28","Chelsea","Fulham","Wigan","Manchester City","D","A",4.5,1.46,6.57,0.135823531769337,1,0.156646489962689,0.00428982275401502,39.57050528357
"2012-11-28","Everton","Arsenal","Southampton","Norwich","D","H",3.38,1.95,6.591,0.136230606169268,0,0.156345400446533,0.00517774714472974,47.7609641460725
"2012-11-28","Everton","Arsenal","Stoke","Newcastle","H","D",2.44,3.27,7.9788,0.11260277340475,0,0.137546895550175,0.00138338871090466,12.7607580622881
"2012-11-28","Everton","Arsenal","Swansea","West Brom","H","A",2.44,3.17,7.7348,0.116035682167181,0,0.140697816914193,0.00175162597531894,16.157479897351
"2012-11-28","Everton","Arsenal","Tottenham","Liverpool","A","A",2.86,2.88,8.2368,0.109219762476458,0,0.134284813894888,0.00107336611821868,9.9010243750571
"2012-11-28","Southampton","Norwich","Stoke","Newcastle","A","H",3.87,2.08,8.0496,0.111616086145072,0,0.136644634018625,0.00125235206450513,11.5520399855701
"2012-11-28","Southampton","Norwich","Swansea","West Brom","D","H",3.52,2.25,7.92,0.113326086160345,1,0.138300328598454,0.00137230916038881,12.6585572401639
